nama_kecamatan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation
CAKUNG,4175,68,3738,71,298
CEMPAKA PUTIH,1900,43,1744,33,80
CENGKARENG,4724,159,4229,107,229
CILANDAK,2449,50,2155,44,200
CILINCING,3163,29,2900,61,173
CIPAYUNG,2707,55,2338,34,280
CIRACAS,2571,68,2236,52,215
DUREN SAWIT,4358,72,3900,98,288
GAMBIR,1605,34,1432,33,106
GROGOL PETAMBURAN,2804,73,2557,66,108
JAGAKARSA,2933,58,2579,46,250
JATINEGARA,3333,53,2983,56,241
JOHAR BARU,1862,20,1725,60,57
KALI DERES,2551,66,2295,59,131
KEBAYORAN BARU,1937,79,1676,27,155
KEBAYORAN LAMA,3067,82,2725,63,197
KEBON JERUK,3665,104,3254,85,222
KELAPA GADING,1950,48,1737,36,129
KEMAYORAN,3448,124,2952,84,288
KEMBANGAN,2789,76,2502,41,170
KEP. SERIBU SELATAN,55,0,53,0,2
KEP. SERIBU UTARA,71,1,62,0,8
KOJA,3419,34,3174,68,143
KRAMAT JATI,3208,70,2829,70,239
MAKASAR,2545,81,2274,43,147
MAMPANG PRAPATAN,2120,36,1886,35,163
MATRAMAN,2149,42,1870,59,178
MENTENG,1299,20,1166,29,84
PADEMANGAN,1848,25,1712,39,72
PALMERAH,3000,73,2758,71,98
PANCORAN,1910,59,1659,27,165
PASAR MINGGU,3264,79,2834,68,283
PASAR REBO,2184,63,1898,37,186
PENJARINGAN,2432,60,2201,50,121
PESANGGRAHAN,2310,47,2017,40,206
PULO GADUNG,3141,64,2794,72,211
SAWAH BESAR,1488,32,1344,39,73
SENEN,1795,25,1653,43,74
SETIA BUDI,1839,37,1659,38,105
TAMAN SARI,1593,41,1450,27,75
TAMBORA,2115,34,1959,60,62
TANAH ABANG,2507,34,2311,61,101
TANJUNG PRIOK,4319,64,3927,86,242
TEBET,2681,55,2458,64,104
