NO;Confirmed;Deaths
1;543975;17081
2;549508;17199
3;557877;17355
4;563680;17479
5;569707;17589
6;575796;17740
7;581550;17867
8;586842;18000
9;592900;18171
10;598933;18336
11;605243;18511
12;611631;18653
13;617820;18819
14;623309;18956
15;629429;19111
16;636154;19248
17;643508;19390
18;650197;19514
19;657948;19659
20;664930;19880
21;671778;20085
22;678125;20257
23;685639;20408
24;692838;20589
25;700097;20847
26;706837;20994
27;713365;21237
28;719219;21452
29;727122;21703
30;735124;21944
31;743198;22138
