JENIS KELAMIN;STATUS MAHASISWA;UMUR;STATUS NIKAH;IPS 1;IPS 2;IPS 3;IPS 4;IPS 5;IPS 6;IPS 7;IPS 8;IPK ;STATUS KELULUSAN
2;2;28;1;2.76;2.8;3.2;3.17;2.98;3;3.03;0;3.07;TERLAMBAT
2;1;32;1;3;3.3;3.14;3.14;2.84;3.13;3.25;0;3.17;TERLAMBAT
2;2;29;1;3.5;3.3;3.7;3.29;3.53;3.72;3.73;0;3.54;TERLAMBAT
2;1;27;1;3.17;3.41;3.61;3.36;3.48;3.63;3.46;0;3.41;TERLAMBAT
2;2;29;1;2.9;2.89;3.3;2.85;2.98;3;3.08;0;3.09;TERLAMBAT
1;2;27;1;2.95;2.82;3.09;3.1;2.78;3.16;3.23;0;3.07;TERLAMBAT
2;1;26;1;2.76;3.14;2.6;2.95;3.23;3.33;3.3;3.3;3.06;TEPAT
2;1;27;1;2.62;2.89;2.32;2.5;2.5;2.86;3.05;2.5;2.91;TEPAT
2;2;25;2;3.6;3.54;3.52;3.39;3.52;3.68;3.15;0;3.4;TERLAMBAT
2;2;28;1;2.71;2.55;1.77;2.11;1.93;2.13;1.78;0.2;2.2;TERLAMBAT
2;2;27;1;3.14;3.46;3.4;3.43;3.27;3.15;3.81;4;3.44;TERLAMBAT
2;2;32;1;2.67;2.3;1.57;1.44;1.58;1.68;1.13;0.94;2.4;TERLAMBAT
2;2;26;1;2.57;2.82;2.2;2.45;2.1;2.42;1;1.42;2.45;TERLAMBAT
2;2;31;1;2.71;3;2.65;2.27;2.13;3.34;2.5;0;2.57;TERLAMBAT
2;1;26;1;3.24;3.38;3.44;3.3;3.56;3.45;3.35;3.35;3.45;TERLAMBAT
1;1;27;1;2.86;2.86;2.45;1.86;3.19;3.14;2.98;2;3.04;TERLAMBAT
2;1;27;1;2.71;3.27;2.54;3.36;3.23;3.28;3.15;2;3.19;TERLAMBAT
1;2;29;1;2.67;2.2;1.45;3;3.17;3.08;3.33;0;2.95;TERLAMBAT
1;1;27;1;2.67;2.68;1.95;1.61;2.36;2.21;0.78;0.92;2.11;TERLAMBAT
1;1;27;1;3.1;3.71;2.96;3.4;3.4;3.61;3.73;;3.38;TEPAT
1;2;28;1;3;3.33;2.88;2.8;3.36;3.07;3.43;4;3.29;TERLAMBAT
1;2;26;1;3.12;3.23;2.96;3;3.31;3;3.08;3;3.19;TERLAMBAT
1;1;26;1;2.9;3.32;2.83;2.91;3.3;2.83;3.27;4;3.11;TERLAMBAT
1;2;29;1;2.95;3.41;3.48;3.24;2.95;3;2.75;0;3.2;TERLAMBAT
1;2;25;2;3.05;2.92;2.27;2.65;3;3.45;3.24;2;3.09;TERLAMBAT
1;2;30;1;2.64;3;2.9;2.77;3.25;3.5;3.22;2;3.08;TERLAMBAT
1;1;32;1;2.45;2.45;2.14;1.95;1.82;2.66;1.61;0;2.32;TERLAMBAT
2;2;27;1;0.33;2.9;3.16;2.35;3.09;2.96;3.24;3.45;3.23;TERLAMBAT
1;1;27;1;3.33;3.63;3.29;3.89;3.6;3.13;3.35;3.35;3.52;TEPAT
1;2;26;1;2.52;2.7;2.84;2.77;3.29;3.15;2.61;3;3;TERLAMBAT
1;1;25;1;3.05;3.38;3.21;2.93;2.83;3.33;3.39;2.5;3.25;TEPAT
1;2;30;1;2.81;3.09;2.63;3.36;2.96;3.24;3.04;3.3;3.1;TERLAMBAT
1;1;32;1;2.52;2.75;2.25;2.5;2.64;2.87;3.2;2;2.86;TEPAT
1;1;27;1;3.12;3.1;2.73;2.8;3.07;3.31;2.77;2.77;3.07;TEPAT
1;1;27;1;2.86;3.05;2.54;2.36;2.41;2.48;2.61;2.77;3.06;TERLAMBAT
1;2;26;2;3.05;3.27;2.31;3.05;3.08;3.37;3.64;2.77;3.1;TERLAMBAT
1;2;25;1;2.71;3.16;2.44;2.91;3.02;2.98;3.36;3.21;3.07;TEPAT
1;2;50;2;2.88;3.32;2.48;3.27;3.29;3.47;3.36;2;3.16;TERLAMBAT
1;2;27;1;2.76;3.25;2.98;1.91;2.89;3.71;2.61;2.32;3.07;TERLAMBAT
1;2;29;1;2.69;2.59;3.2;3;2.95;2.82;3.15;2;3.03;TERLAMBAT
1;2;30;1;2.29;3.09;3.2;2.74;2.65;2.37;2.83;3;2.96;TERLAMBAT
1;2;28;1;2.71;2.59;3.09;1.76;3.06;2.77;3.66;3.22;3.09;TERLAMBAT
1;2;27;1;2.43;3.02;3;2.79;2.75;2.59;3.08;2.63;2.9;TERLAMBAT
1;2;27;1;2.88;2.59;2.82;3.05;2.65;3.03;3.3;2;3.03;TERLAMBAT
1;2;29;1;2.07;2.59;2.59;2.48;2.52;2.89;3.04;3;2.77;TERLAMBAT
